Estimator,Mean Acc,SD
emcee_mode+logistic,0.5889999999999999,0.025079872407968884
emcee_mean+logistic,0.583,0.02491987158875421
emcee_median+logistic,0.583,0.02722131517763238
emcee_posterior_mean,0.5770000000000001,0.015524174696259998
emcee_posterior_vote,0.576,0.016852299546352697
emcee_mean,0.539,0.04526588119102509
emcee_mode,0.538,0.02993325909419152
emcee_median,0.534,0.05332916650389353
qda,0.5999999999999999,1.1102230246251565e-16
rmh+log,0.584,0.026532998322843174
log,0.5809999999999998,0.01972308292331599
rkvs+log,0.579,0.023853720883753104
apls+log,0.572,0.0289136645896019
fpca+log,0.571,0.024677925358506107
pca+log,0.568,0.02749545416973502
manual+log,0.567,0.027221315177632384
pls+log,0.5650000000000001,0.02578759391645523
flog,0.562,0.023579652245103166
pca+qda,0.553,0.046270941205037094
fknn,0.546,0.053141321022345686
lda,0.531,0.02808914381037628
mdc,0.529,0.0452658811910251
pls+nc,0.523,0.028301943396169836
fnc,0.5149999999999999,0.04295346318982908
apls+nc,0.511,0.033896902513356586
flda,0.509,0.03590264614203248
