Estimator,Mean Acc,SD
emcee_mean,0.5630000000000001,0.030999999999999982
emcee_posterior_vote,0.558,0.03218695387886215
emcee_posterior_mean,0.554,0.03136877428271624
emcee_mean+logistic,0.5509999999999999,0.02586503431275512
emcee_median,0.549,0.04392038251199549
emcee_mode+logistic,0.548,0.025219040425836965
emcee_median+logistic,0.54,0.033763886032268264
emcee_mode,0.533,0.045398237851264664
pca+qda,0.5719999999999998,0.05635601121442148
fpca+log,0.5680000000000001,0.04142463035441595
apls+log,0.5660000000000001,0.04054626986542659
pca+log,0.5640000000000001,0.042941821107167766
flog,0.561,0.03534119409414457
qda,0.5600000000000002,1.1102230246251565e-16
pls+log,0.5599999999999999,0.02049390153191917
rmh+log,0.554,0.024979991993593603
rkvs+log,0.547,0.039
fnc,0.546,0.03720215047547653
manual+log,0.545,0.021095023109728987
apls+nc,0.542,0.03340658617698013
flda,0.5409999999999999,0.041821047332652975
log,0.54,0.030983866769659342
pls+nc,0.5369999999999999,0.03579106033634656
mdc,0.529,0.03269556544854363
lda,0.506,0.053702886328390216
fknn,0.4659999999999999,0.047159304490206395
